date,bc_aod_regional,temperature_c,total_precip_mm,snowfall_mm,rainfall_mm,year,month,day_of_year,albedo_mean,predicted_albedo,residuals,leverage,cooks_distance,studentized_residuals
2023-06-14,0.02425248679,7.980318324,39.24048615,8.94503668,30.29544948,2023,6,165,0.3275,0.24823195970769635,0.07926804029230367,0.25251329228918273,0.03474882749988326,0.7171577478032869
2023-06-10,0.02358678442,11.88035927,5.108487213,0.0,5.108487213,2023,6,161,0.31225,0.26608795368549704,0.04616204631450299,0.005999918763129108,0.00015834678550258067,0.36216806498213905
2024-08-07,0.02333180759,8.053667323,17.09869504,0.0,17.09869504,2024,8,220,0.26487499999999997,0.24432125105356228,0.02055374894643769,0.05933721509876078,0.0003466633629660084,0.16576482388811342
2023-08-02,0.02289121996,15.64859416,0.001710653294,0.0,0.001710653294,2023,8,214,0.15392850303285985,0.26843930118532955,-0.1145107981524697,0.008116431458551574,0.0013237416497722792,-0.8993617316110241
2023-07-19,0.02283850941,11.65491384,0.00700039368,0.0,0.00700039368,2023,7,200,0.16982870254321722,0.28352003025030753,-0.11369132770709031,0.0059514133787025945,0.0009526342364462907,-0.8919527370142
2022-09-03,0.02157011353,18.04343185,0.000435,0.0,0.000435,2022,9,246,0.18559307583925824,0.2612821837033311,-0.07568910786407287,0.012370085547672889,0.0008890324644401446,-0.5957370062971936
2022-09-11,0.0215616651,11.49278412,0.02601316958,0.0,0.02601316958,2022,9,254,0.19581725558619767,0.2858578180135262,-0.09004056242732855,0.005688761109672555,0.000570842125308155,-0.7063099677038248
2023-09-05,0.02132993458,6.955599721,3.14950943,0.0,3.14950943,2023,9,248,0.15940000000000001,0.293736395838961,-0.13433639583896098,0.008570499378562607,0.0019254686573664567,-1.055312503668509
2024-08-17,0.02124328736,9.391948318,1.507475972,0.0,1.507475972,2024,8,230,0.2217,0.28969381284548507,-0.06799381284548506,0.005532524091680688,0.0003164809349202248,-0.5333255792973707
2023-07-06,0.02094496998,11.77086474,3.389197588,0.0,3.389197588,2023,7,187,0.287464258413119,0.27543110683890215,0.01203315157421686,0.004085859787589772,7.299028386049848e-06,0.09431629849601092
2023-07-16,0.02094492503,14.97053108,0.6228983402,0.0,0.6228983402,2023,7,197,0.19464488486673073,0.2718201589076759,-0.07717527404094518,0.006413747114472824,0.00047350400969734115,-0.6056109284629724
2024-07-29,0.02066561833,12.73717715,0.3785610198,0.0,0.3785610198,2024,7,211,0.3514,0.281356230477632,0.07004376952236802,0.005045649919060966,0.00030599648748667646,0.5492704599102872
2023-08-22,0.0205742761,10.73771439,17.54683554,0.0,17.54683554,2023,8,234,0.15225,0.23671643142254198,-0.08446643142254198,0.06356157971902052,0.006328068094790312,-0.6827517858018962
2023-07-04,0.02019047128,7.215403493,6.933021545,0.0,6.933021545,2023,7,185,0.27240000000000003,0.2828294046406267,-0.010429404640626694,0.01176784158191818,1.6038527755832618e-05,-0.0820631789714313
2022-08-15,0.01990985206,15.86610374,0.01963636199,0.0,0.01963636199,2022,8,227,0.2512338327047819,0.27173626599318657,-0.020502433288404676,0.00800794006987053,4.185832574946415e-05,-0.1610162173164286
2022-08-20,0.01990342271,18.01608047,1.49782598,0.0,1.49782598,2022,8,232,0.25225000000000003,0.25915555720177663,-0.006905557201776602,0.01152731712645148,6.884350415723891e-06,-0.05432937406017525
2023-07-08,0.01964088493,11.8316831,1.078526579,0.0,1.078526579,2023,7,189,0.24614598369863125,0.28406378339454064,-0.03791779969590939,0.0041977560984506,7.447729117017762e-05,-0.29721784984541977
2024-07-19,0.01929630851,17.39123433,1.906329393,0.0,1.906329393,2024,7,201,0.3615028933944183,0.26111100284298266,0.10039189055143566,0.010055701655108691,0.0012654784220251737,0.7892444994185658
2023-07-28,0.01836714101,8.66485939,4.460647702,0.0,4.460647702,2023,7,209,0.157,0.287457127527014,-0.13045712752701402,0.006119776195881197,0.0012902375633274347,-1.0235736505882291
2023-07-18,0.01833957095,9.64101181,1.107784772,0.0,1.107784772,2023,7,199,0.18425,0.29403540158935454,-0.10978540158935454,0.005084153662828749,0.000757533386223843,-0.8609337458399
